leftgx,leftgy,rightgx,rightgy,left0x,left0y,leftix,leftiy,right0x,right0y,rightix,rightiy
348,365,639,359,298,325,124.278,60.6425,589,319,167.999,52.616
344,367,655,353,294,327,123.174,67.1463,605,313,125.412,73.1823
344,367,641,355,294,327,122.372,63.4084,591,315,150.936,57.9913
346,364,636,357,296,324,118.814,73.1047,586,317,163.699,64.3044
345,365,638,356,295,325,119.751,68.0834,588,316,159.352,66.5406
341,364,638,355,291,324,111.086,76,588,315,141.452,72.8193
347,367,627,359,297,327,88.6804,62.6149,577,319,151.075,56.0486
352,370,633,359,302,330,77.6344,54.4293,583,319,138.568,57.9189
349,369,635,361,299,329,82.8642,52.0232,585,321,134.735,59.1099
340,366,635,361,290,326,101.692,57.6517,585,321,135.545,59.6056
340,365,638,358,290,325,100.815,55.6601,588,318,128.788,66.6793
337,367,643,355,287,327,105.998,66.9799,593,315,117.689,69.8404
338,366,644,355,288,326,99.3029,48.399,594,315,113.626,68.7368
349,367,638,352,299,327,46.204,64.07,588,312,89.4166,74.7726
351,366,629,355,301,326,43.6781,67.3804,579,315,110.367,70.4249
351,366,635,354,301,326,42.7161,64.919,585,314,97.9809,71.6997
337,367,635,355,287,327,54.1291,59.6012,585,315,80.2125,62.7364
341,367,636,356,291,327,47.7876,61.0321,586,316,80.5333,59.4786
326,361,637,354,276,321,76.7954,69.4124,587,314,75.3054,61.1414
335,364,633,349,285,324,59.1804,57.5163,583,309,83.3317,69.639
332,364,635,352,282,324,62.0882,59.8981,585,312,77.7454,63.1891
335,363,633,348,285,323,58.177,54.8465,583,308,82.3784,65.0004
334,363,635,350,284,323,60.3805,55.6239,585,310,79.4334,61.2153
339,363,635,349,289,323,50.544,50.1647,585,309,77.7035,57.7789
338,363,635,349,288,323,52.0326,49.493,585,309,78.2338,57.1435
337,362,635,350,287,322,54.2002,51.6776,585,310,78.4595,55.5982
332,359,635,347,282,319,66.0187,52.8705,585,307,78.7478,54.2104
329,357,635,348,279,317,70.5552,57.2559,585,308,77.8502,52.2111
328,357,636,349,278,317,74.1831,58.7484,586,309,77.4974,51.7376
325,356,639,349,275,316,85.1021,53.4403,589,309,74.0983,47.7502
326,356,640,349,276,316,82.7322,54.5303,590,309,73.4464,49.0323
323,357,637,348,273,317,86.3493,52.9913,587,308,77.5768,50.9217
323,357,637,348,273,317,85.9934,51.9555,587,308,77.066,50.5842
325,356,639,349,275,316,86.7934,47.488,589,309,75.8856,47.4862
